doctor_name,hospital_name,phone_number,email,specialty,state,county_name
Jennifer Lang,MT Health System,(214) 242-8188,jeremy07@example.org,Neurology,MT,Park
Kimberly Bennett,WI Baptist Medical,(042) 727-5152,andersonjoseph@example.org,Gastroenterology,WI,Ashland
Michael Robbins,WY General,(263) 549-8236,julia02@example.com,Pediatrics,WY,Natrona
Elizabeth Zimmerman,Fergus Medical Center,(986) 657-3315,hannah05@example.net,Pediatrics,MT,Fergus
Leslie Hartman,MT Baptist Medical,(052) 944-6027,sheena17@example.org,Pediatrics,MT,Richland
Jessica Payne,Clarke Medical Center,(870) 830-6511,fowlerjose@example.org,Cardiology,AL,Clarke
April Murphy,AL Community,(360) 967-7821,staceydunn@example.org,Pulmonology,AL,Lamar
Charles Hodges,Saint Paul Medical,(910) 408-8366,ilara@example.net,Orthopedics,AL,Franklin
Kimberly Gomez,Big Horn Presbyterian Medical,(984) 815-4485,iwoods@example.com,Psychiatry,WY,Big Horn
Stefanie Bowers,Talladega General,(387) 556-1011,christineruiz@example.com,Dermatology,AL,Talladega
Donald Lewis,Toole Health System,(034) 636-5538,christophermay@example.net,Gastroenterology,MT,Toole
Matthew Stark,WI General,(889) 229-2607,waynewilliams@example.net,Neurology,WI,Sawyer
Monique Morris,Taylor General,(140) 702-5005,mirandarichard@example.com,Orthopedics,WI,Taylor
Matthew Gallegos,Cheshire Regional,(169) 611-6677,xstephens@example.net,Neurology,NH,Cheshire
Brian Miller,WY Health System,(902) 633-8381,owatson@example.com,Pediatrics,WY,Fremont
Meredith Reeves,Barbour Regional,(274) 104-5953,spatton@example.org,Pulmonology,AL,Barbour
Katie Wilson,Fergus Regional,(561) 761-1189,trevor21@example.com,Dermatology,MT,Fergus
Brenda Smith MD,Strafford Presbyterian Medical,(125) 456-3838,lopezdesiree@example.org,Cardiology,NH,Strafford
Paul Warren,Saint Francis Medical,(034) 797-3612,ricetami@example.com,Oncology,NH,Rockingham
Joshua Gallagher,Jackson Health System,(208) 882-4649,sarahsantiago@example.org,Pulmonology,WI,Jackson
Danielle Waters,Saint Joseph Medical,(662) 524-8239,williamsangela@example.org,Oncology,AL,Henry
Adam Pineda,Summit Memorial,(906) 000-9438,smithkimberly@example.org,Pediatrics,OH,Summit
Ashley Richardson,Adams Memorial,(537) 393-4649,victoriamills@example.net,Pulmonology,WI,Adams
Amanda Riley,AL Community,(700) 283-9919,charlespruitt@example.net,Oncology,AL,Cullman
Jorge Mullins,NH Memorial,(085) 948-6054,leepatricia@example.net,Gastroenterology,NH,Cheshire
Steven Mcguire,Price Health System,(266) 326-3904,phumphrey@example.com,Neurology,WI,Price
William Garcia,Chambers Presbyterian Medical,(286) 185-7336,blaketerri@example.org,Cardiology,AL,Chambers
Alexandra Ramirez,Natrona Health System,(099) 517-5664,nancyhooper@example.org,Neurology,WY,Natrona
Jonathan Murray,Saint Paul Medical,(151) 533-0517,sandyvaldez@example.com,Orthopedics,NH,Strafford
David Ward,Wayne University Medical,(475) 133-8609,wwarren@example.net,Dermatology,OH,Wayne
Shannon Horton,Pike Memorial,(083) 043-3332,lee89@example.org,Endocrinology,AL,Pike
Katherine Hill,MT Memorial,(970) 655-1652,jeffrey40@example.org,Pediatrics,MT,Yellowstone
Cindy Harris,Fergus Regional,(796) 526-5022,reynoldsleonard@example.net,Gastroenterology,MT,Fergus
Dylan Garcia,MT Health System,(830) 476-1316,bill43@example.com,Oncology,MT,Phillips
William Douglas,MT Memorial,(013) 840-9947,afuller@example.org,Orthopedics,MT,Missoula
Riley Lamb,AL Regional,(309) 104-9418,vwilliams@example.net,Psychiatry,AL,Baldwin
Christopher Rowland,Coos Medical Center,(637) 756-9787,charles29@example.com,Oncology,NH,Coos
Jackson Turner,WI Regional,(935) 729-3625,marcus91@example.net,Orthopedics,WI,Dunn
Mr. Michael Gregory DDS,MT Community,(885) 052-5736,eileen63@example.net,Endocrinology,MT,Wibaux
Jessica Park,WY Medical Center,(403) 178-9624,gomezkimberly@example.com,Dermatology,WY,Sheridan
Bradley Taylor,Goshen University Medical,(167) 436-1408,vmccormick@example.org,Oncology,WY,Goshen
Christina Reynolds,WY Community,(351) 938-6287,brandy92@example.net,Oncology,WY,Platte
Christina Jones,Waushara Health System,(501) 500-8475,williamsbarbara@example.org,Neurology,WI,Waushara
Kevin Marquez,Campbell University Medical,(373) 870-8850,kevin33@example.org,Oncology,WY,Campbell
Luis Liu,Sublette Baptist Medical,(371) 253-2828,rodneybruce@example.org,Gastroenterology,WY,Sublette
Maria Flores,WY University Medical,(487) 747-6012,victoria35@example.com,Dermatology,WY,Carbon
